trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
91	137.03	130	0	0	-8.8398	8.2351	-6.3201	10.974	1	6043	1
92	97.135	50	0	0	-1.4935	11.931	3.8985	11.089	1	11854	1
93	121.48	90	0	0	-6.3895	10.435	-4.1525	11.662	1	3709	1
94	83.107	90	0	0	1.4492	11.988	2.5646	11.748	1	3123	1
95	141.29	130	0	0	-9.4837	7.601	-7.6063	9.5693	1	3869	1
96	79.352	50	0	0	2.2218	11.817	4.8274	11.06	1	3368	1
97	40.029	50	0	0	9.2222	7.7464	9.9248	5.4413	1	3704	1
98	138.24	130	0	0	-8.952	7.9929	-7.3443	9.4833	1	3529	1
99	114.2	90	0	0	-4.9274	10.965	-2.8424	12.121	1	3189	1
100	40.745	50	0	0	9.1121	7.85	10.187	5.4987	1	3450	1
101	111.06	90	0	0	-4.3323	11.25	-2.4851	11.748	1	3589	1
102	128.41	130	0	0	-7.5128	9.4745	-5.6055	11.318	1	3249	1
103	85.474	90	0	0	0.9474	11.969	1.85	12.35	1	3489	1
104	85.962	50	0	0	0.8459	11.983	2.374	12.407	1	3489	1
105	125.8	130	0	0	-7.0981	9.841	-4.6051	12.321	1	3309	1
106	118.35	90	0	0	-5.7256	10.609	-4.0572	11.863	1	3250	1
107	61.129	50	0	0	5.823	10.561	7.0188	10.057	1	3178	1
108	121.69	130	0	0	-6.367	10.312	-3.7714	12.121	1	3280	1
235	76.598	50	0	0	2.8488	11.956	3.7794	11.175	2	20970	1
236	140.13	130	0	0	-9.2897	7.759	-7.3919	10.315	2	3009	1
237	101.26	90	0	0	-2.3784	11.943	-0.60341	13.296	2	3112	1
238	163.43	130	0	0	-11.641	3.4629	-9.8692	7.0467	2	2849	1
239	79.683	90	0	0	2.1603	11.867	4.1843	11.175	2	3149	1
240	77.703	50	0	0	2.6116	11.981	3.2553	11.576	2	3269	1
241	61.545	50	0	0	5.7599	10.628	6.1375	10.372	2	3100	1
242	126.1	130	0	0	-7.1946	9.8676	-3.9381	11.576	2	3114	1
243	130.34	90	0	0	-7.8291	9.2188	-5.3197	11.605	2	3022	1
244	140.26	130	0	0	-9.3298	7.7555	-7.6063	9.1393	2	3088	1
245	89.504	90	0	0	0.1045	12.068	3.565	11.461	2	3149	1
246	71.215	50	0	0	3.91	11.495	4.7798	11.289	2	3249	1
247	42.159	50	0	0	8.9089	8.0666	10.258	6.33	2	3089	1
248	123.03	130	0	0	-6.5403	10.062	-3.0806	12.579	2	3049	1
249	131.24	90	0	0	-8.0605	9.1944	-5.3435	11.146	2	3009	1
250	121.9	130	0	0	-6.3489	10.2	-2.8663	12.809	2	3109	1
251	56.056	50	0	0	6.7397	10.013	9.1149	6.932	2	3049	1
252	110.65	90	0	0	-4.2574	11.296	-3.5808	12.235	2	3069	1
379	132.93	130	0	0	-8.251	8.8704	-6.0104	10.773	3	3563	1
380	64.632	50	0	0	5.1974	10.961	5.1847	11.117	3	3029	1
381	76.632	90	0	0	2.8	11.783	3.9699	11.289	3	3652	1
382	133.59	130	0	0	-8.2784	8.6974	-6.0581	11.375	3	3349	1
383	137.7	90	0	0	-9.0632	8.2473	-5.1529	11.347	3	2989	1
384	72.057	50	0	0	3.7707	11.644	5.0418	10.802	3	3076	1
385	118.09	130	0	0	-5.676	10.637	-2.9377	11.977	3	3149	1
386	84.356	50	0	0	1.2012	12.154	3.1362	12.178	3	3289	1
387	70.089	90	0	0	4.0972	11.311	4.8036	11.49	3	3109	1
388	132.34	130	0	0	-8.1731	8.9691	-3.8429	11.633	3	3409	1
389	46.277	50	0	0	8.4013	8.7844	9.6866	6.072	3	3312	1
390	106.89	90	0	0	-3.5294	11.627	-0.65105	12.522	3	3444	1
391	84.641	50	0	0	1.1257	12.001	3.9937	11.92	3	3169	1
392	74.574	90	0	0	3.2115	11.638	4.8512	11.576	3	3029	1
393	147.13	130	0	0	-10.2	6.592	-7.8683	8.738	3	3429	1
394	83.899	50	0	0	1.2861	12.033	3.4221	11.662	3	3462	1
395	131.42	130	0	0	-8.0391	9.1108	-3.6999	11.289	3	3088	1
396	84.302	90	0	0	1.2062	12.09	4.9227	11.175	3	3109	1
523	123.6	90	0	0	-6.7285	10.125	-3.8905	11.719	4	5446	1
524	62.776	50	0	0	5.5	10.691	4.8751	11.031	4	3349	1
525	124.91	130	0	0	-6.9355	9.9364	-4.8909	12.063	4	2929	1
526	73.087	90	0	0	3.5106	11.545	5.0894	11.318	4	2969	1
527	75.423	50	0	0	3.0301	11.652	4.3749	11.633	4	3049	1
528	142.11	130	0	0	-9.5797	7.4539	-9.4881	6.9607	4	4089	1
529	109.17	90	0	0	-3.9984	11.504	-2.2231	11.977	4	2972	1
530	48.546	50	0	0	8.0548	9.119	9.2578	7.5913	4	3452	1
531	128.79	130	0	0	-7.6899	9.5675	-4.3192	11.576	4	2907	1
532	73.051	50	0	0	3.5556	11.667	4.7322	10.802	4	3135	1
533	91.643	90	0	0	-0.3499	12.199	2.8742	11.146	4	3309	1
534	135.69	130	0	0	-8.5933	8.3897	-6.0342	11.146	4	2930	1
535	88.352	50	0	0	0.3464	12.043	3.0648	11.49	4	3029	1
536	79.24	90	0	0	2.2663	11.925	4.1605	11.519	4	2969	1
537	132.46	130	0	0	-8.1339	8.8897	-6.4868	10.401	4	3049	1
538	160.61	130	0	0	-11.414	4.0172	-9.7024	6.1293	4	3089	1
539	90.563	90	0	0	-0.1195	12.156	3.7556	12.694	4	3109	1
540	79.488	50	0	0	2.2319	12.028	3.7317	11.232	4	3009	1
