Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
46	90	528.632952692	116.66721044	0.000194	-0.085309	528	395	0.0	-0.085	0	0	1	0	1
46	90	528.766721044	116.582381729	0.000235	-0.085335	528	395	0.0	-0.085	0	0	1	0	21
46	90	529.448613377	116.15497553	0.000444	-0.085466	528	395	0.0	-0.085	0	0	1	0	41
46	90	529.993474715	115.812398042	0.000611	-0.085571	528	395	0.0	-0.085	0	0	1	0	61
46	90	530.267536705	115.639477977	0.000695	-0.085624	528	395	0.0	-0.085	0	0	1	0	81
46	90	530.632952692	115.554649266	0.000807	-0.085650	528	395	0.0	-0.085	0	0	1	0	101
46	90	531.135399674	115.384991843	0.000961	-0.085702	528	395	0.0	-0.085	0	0	1	0	121
46	90	531.500815661	115.300163132	0.001073	-0.085728	528	395	0.0	-0.085	0	0	1	0	141
46	90	531.911908646	115.042414356	0.001199	-0.085807	528	395	0.0	-0.085	0	0	1	0	161
46	90	532.319738989	114.787928222	0.001324	-0.085885	528	395	0.0	-0.085	0	0	1	0	181
46	90	532.593800979	114.615008157	0.001408	-0.085938	528	395	0.0	-0.085	0	0	1	0	201
46	90	532.822185971	114.618270799	0.001478	-0.085937	528	395	0.0	-0.085	0	0	1	0	221
46	90	532.822185971	114.618270799	0.001478	-0.085937	528	395	0.0	-0.085	0	0	1	0	241
46	90	532.822185971	114.618270799	0.001478	-0.085937	528	395	0.0	-0.085	0	0	1	0	261
46	90	532.685154976	114.703099511	0.001436	-0.085911	528	395	0.0	-0.085	0	0	1	0	281
46	90	532.685154976	114.703099511	0.001436	-0.085911	528	395	0.0	-0.085	0	0	1	0	301
46	90	532.685154976	114.703099511	0.001436	-0.085911	528	395	0.0	-0.085	0	0	1	0	321
46	90	532.685154976	114.703099511	0.001436	-0.085911	528	395	0.0	-0.085	0	0	1	0	341
46	90	532.822185971	114.618270799	0.001478	-0.085937	528	395	0.0	-0.085	0	0	1	0	361
46	90	533.096247961	114.445350734	0.001562	-0.085990	528	395	0.0	-0.085	0	0	1	0	381
46	90	533.461663948	114.360522023	0.001674	-0.086016	528	395	0.0	-0.085	0	0	1	0	401
46	90	534.101141925	114.106035889	0.001870	-0.086094	528	395	0.0	-0.085	0	0	1	0	421
46	90	534.740619902	113.851549755	0.002066	-0.086172	528	395	0.0	-0.085	0	0	1	0	441
46	90	535.246329527	113.681892333	0.002221	-0.086224	528	395	0.0	-0.085	0	0	1	0	461
46	90	535.611745514	113.597063622	0.002333	-0.086250	528	395	0.0	-0.085	0	0	1	0	481
46	90	535.980424144	113.51223491	0.002446	-0.086276	528	395	0.0	-0.085	0	0	1	0	501
46	90	536.16639478	113.685154976	0.002503	-0.086223	528	395	0.0	-0.085	0	0	1	0	521
46	90	536.352365416	113.854812398	0.002560	-0.086171	528	395	0.0	-0.085	0	0	1	0	541
46	90	536.30995106	114.027732463	0.002547	-0.086118	528	395	0.0	-0.085	0	0	1	0	561
46	90	536.267536705	114.197389886	0.002534	-0.086066	528	395	0.0	-0.085	0	0	1	0	581
46	90	536.267536705	114.197389886	0.002534	-0.086066	528	395	0.0	-0.085	0	0	1	0	601
46	90	536.172920065	114.112561175	0.002505	-0.086092	528	395	0.0	-0.085	0	0	1	0	621
46	90	535.944535073	114.112561175	0.002435	-0.086092	528	395	0.0	-0.085	0	0	1	0	641
46	90	535.807504078	114.197389886	0.002393	-0.086066	528	395	0.0	-0.085	0	0	1	0	661
46	90	535.575856444	114.197389886	0.002322	-0.086066	528	395	0.0	-0.085	0	0	1	0	681
46	90	535.442088091	114.282218597	0.002281	-0.086040	528	395	0.0	-0.085	0	0	1	0	701
46	90	535.442088091	114.282218597	0.002281	-0.086040	528	395	0.0	-0.085	0	0	1	0	721
46	90	535.484502447	114.109298532	0.002294	-0.086093	528	395	0.0	-0.085	0	0	1	0	741
46	90	535.621533442	114.024469821	0.002336	-0.086119	528	395	0.0	-0.085	0	0	1	0	761
46	90	536.029363785	113.769983687	0.002461	-0.086197	528	395	0.0	-0.085	0	0	1	0	781
46	90	536.44045677	113.515497553	0.002587	-0.086275	528	395	0.0	-0.085	0	0	1	0	801
46	90	536.848287113	113.257748777	0.002712	-0.086354	528	395	0.0	-0.085	0	0	1	0	821
