Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
91	90	530.137030995	113.841761827	0.000655	-0.086175	528	395	0.0	-0.085	0	0	1	0	1
91	90	531.089722675	113.244698206	0.000947	-0.086358	528	395	0.0	-0.085	0	0	1	0	21
91	90	533.48776509	111.026101142	0.001682	-0.087038	528	395	0.0	-0.085	0	0	1	0	41
91	90	536.936378467	108.308319739	0.002739	-0.087871	528	395	0.0	-0.085	0	0	1	0	61
91	90	540.531810767	105.515497553	0.003841	-0.088727	528	395	0.0	-0.085	0	0	1	0	81
91	90	544.133768352	102.732463295	0.004945	-0.089580	528	395	0.0	-0.085	0	0	1	0	101
91	90	547.738988581	99.9624796085	0.006050	-0.090429	528	395	0.0	-0.085	0	0	1	0	121
91	90	551.448613377	97.2903752039	0.007187	-0.091248	528	395	0.0	-0.085	0	0	1	0	141
91	90	555.030995106	95.1305057096	0.008285	-0.091910	528	395	0.0	-0.085	0	0	1	0	161
91	90	558.205546493	93.2283849918	0.009258	-0.092493	528	395	0.0	-0.085	0	0	1	0	181
91	90	561.572593801	91.5057096248	0.010290	-0.093021	528	395	0.0	-0.085	0	0	1	0	201
91	90	563.748776509	90.7781402936	0.010957	-0.093244	528	395	0.0	-0.085	0	0	1	0	221
91	90	565.507340946	90.3017944535	0.011496	-0.093390	528	395	0.0	-0.085	0	0	1	0	241
91	90	566.672104405	90.3181076672	0.011853	-0.093385	528	395	0.0	-0.085	0	0	1	0	261
91	90	567.04730832	90.660685155	0.011968	-0.093280	528	395	0.0	-0.085	0	0	1	0	281
91	90	567.057096248	91.5024469821	0.011971	-0.093022	528	395	0.0	-0.085	0	0	1	0	301
91	90	566.646003263	92.1712887439	0.011845	-0.092817	528	395	0.0	-0.085	0	0	1	0	321
91	90	566.143556281	92.7520391517	0.011691	-0.092639	528	395	0.0	-0.085	0	0	1	0	341
91	90	565.360522023	93.4959216966	0.011451	-0.092411	528	395	0.0	-0.085	0	0	1	0	361
91	90	564.995106036	93.9983686786	0.011339	-0.092257	528	395	0.0	-0.085	0	0	1	0	381
91	90	564.16639478	94.4910277325	0.011085	-0.092106	528	395	0.0	-0.085	0	0	1	0	401
91	90	563.292006525	95.1533442088	0.010817	-0.091903	528	395	0.0	-0.085	0	0	1	0	421
91	90	562.600326264	95.5644371941	0.010605	-0.091777	528	395	0.0	-0.085	0	0	1	0	441
91	90	561.911908646	95.9755301794	0.010394	-0.091651	528	395	0.0	-0.085	0	0	1	0	461
91	90	561.588907015	96.3115823817	0.010295	-0.091548	528	395	0.0	-0.085	0	0	1	0	481
91	90	561.45187602	96.3931484502	0.010253	-0.091523	528	395	0.0	-0.085	0	0	1	0	501
91	90	561.314845024	96.4747145188	0.010211	-0.091498	528	395	0.0	-0.085	0	0	1	0	521
91	90	561.269168026	96.6443719413	0.010197	-0.091446	528	395	0.0	-0.085	0	0	1	0	541
91	90	561.22675367	96.810766721	0.010184	-0.091395	528	395	0.0	-0.085	0	0	1	0	561
91	90	561.181076672	96.9804241436	0.010170	-0.091343	528	395	0.0	-0.085	0	0	1	0	581
91	90	560.766721044	97.2283849918	0.010043	-0.091267	528	395	0.0	-0.085	0	0	1	0	601
91	90	560.215334421	97.5579119086	0.009874	-0.091166	528	395	0.0	-0.085	0	0	1	0	621
91	90	559.52365416	97.9722675367	0.009662	-0.091039	528	395	0.0	-0.085	0	0	1	0	641
91	90	558.740619902	98.3017944535	0.009422	-0.090938	528	395	0.0	-0.085	0	0	1	0	661
91	90	558.189233279	98.6313213703	0.009253	-0.090837	528	395	0.0	-0.085	0	0	1	0	681
91	90	557.269168026	99.0424143556	0.008971	-0.090711	528	395	0.0	-0.085	0	0	1	0	701
91	90	556.623164763	99.2903752039	0.008773	-0.090635	528	395	0.0	-0.085	0	0	1	0	721
91	90	556.117455139	99.4535073409	0.008618	-0.090585	528	395	0.0	-0.085	0	0	1	0	741
91	90	555.471451876	99.6982055465	0.008420	-0.090510	528	395	0.0	-0.085	0	0	1	0	761
91	90	554.730831974	99.8613376835	0.008193	-0.090460	528	395	0.0	-0.085	0	0	1	0	781
91	90	554.362153344	99.942903752	0.008080	-0.090435	528	395	0.0	-0.085	0	0	1	0	801
91	90	554.13050571	99.9396411093	0.008009	-0.090436	528	395	0.0	-0.085	0	0	1	0	821
91	90	553.993474715	100.021207178	0.007967	-0.090411	528	395	0.0	-0.085	0	0	1	0	841
91	90	553.993474715	100.021207178	0.007967	-0.090411	528	395	0.0	-0.085	0	0	1	0	861
91	90	554.13050571	99.9396411093	0.008009	-0.090436	528	395	0.0	-0.085	0	0	1	0	881
91	90	554.225122349	100.024469821	0.008038	-0.090410	528	395	0.0	-0.085	0	0	1	0	901
91	90	554.225122349	100.024469821	0.008038	-0.090410	528	395	0.0	-0.085	0	0	1	0	921
91	90	554.319738989	100.109298532	0.008067	-0.090384	528	395	0.0	-0.085	0	0	1	0	941
91	90	554.319738989	100.109298532	0.008067	-0.090384	528	395	0.0	-0.085	0	0	1	0	961
91	90	554.456769984	100.027732463	0.008109	-0.090409	528	395	0.0	-0.085	0	0	1	0	981
91	90	554.593800979	99.942903752	0.008151	-0.090435	528	395	0.0	-0.085	0	0	1	0	1001
91	90	554.825448613	99.9461663948	0.008222	-0.090434	528	395	0.0	-0.085	0	0	1	0	1021
91	90	554.688417618	100.030995106	0.008180	-0.090408	528	395	0.0	-0.085	0	0	1	0	1041
91	90	554.646003263	100.197389886	0.008167	-0.090357	528	395	0.0	-0.085	0	0	1	0	1061
91	90	554.505709625	100.282218597	0.008124	-0.090331	528	395	0.0	-0.085	0	0	1	0	1081
91	90	554.185970636	100.618270799	0.008026	-0.090228	528	395	0.0	-0.085	0	0	1	0	1101
91	90	554.101141925	100.954323002	0.008000	-0.090125	528	395	0.0	-0.085	0	0	1	0	1121
91	90	554.013050571	101.293637847	0.007973	-0.090021	528	395	0.0	-0.085	0	0	1	0	1141
91	90	553.742251223	101.884176183	0.007890	-0.089840	528	395	0.0	-0.085	0	0	1	0	1161
91	90	553.611745514	102.389885808	0.007850	-0.089685	528	395	0.0	-0.085	0	0	1	0	1181
