trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
46	90.201	90	0	0	-0.0422	12.016	0.087358	11.407	1	5578	1
47	28.407	50	0	0	10.641	5.7555	11.163	3.1513	1	3288	1
48	158.09	130	0	0	-11.221	4.5123	-10.393	3.9253	1	3224	1
49	58.392	90	0	0	6.3116	10.256	5.6135	8.9707	1	3774	1
50	128.12	130	0	0	-7.4945	9.5506	-7.4872	8.8273	1	4127	1
51	77.098	50	0	0	2.7279	11.909	2.5646	10.49	1	3288	1
52	26.959	50	0	0	10.824	5.5054	10.401	4.0113	1	3278	1
53	84.372	90	0	0	1.2003	12.18	0.94486	11.321	1	3377	1
54	154.15	130	0	0	-11.04	5.3497	-10.465	3.6387	1	3071	1
55	86.881	90	0	0	0.6667	12.237	1.064	10.834	1	3091	1
56	154.25	130	0	0	-11.011	5.31	-10.655	4.2693	1	2748	1
57	49.961	50	0	0	7.8828	9.3814	9.1626	6.276	1	2967	1
58	79.25	50	0	0	2.2481	11.841	2.6599	11.092	1	3183	1
59	149.59	130	0	0	-10.439	6.1257	-10.274	3.438	1	2729	1
60	87.266	90	0	0	0.5834	12.217	0.20646	9.974	1	3045	1
61	31.262	50	0	0	10.273	6.2366	9.4722	4.4127	1	2719	1
62	140.77	130	0	0	-9.417	7.6887	-9.631	4.5847	1	2889	1
63	82.827	90	0	0	1.5163	12.048	0.32555	11.035	1	3001	1
118	59.287	90	0	0	6.2272	10.482	5.4229	8.8273	2	4294	1
119	76.671	50	0	0	2.79	11.776	1.8262	10.576	2	3222	1
120	148.09	130	0	0	-10.223	6.3658	-11.013	4.212	2	3292	1
121	76.882	50	0	0	2.7621	11.852	1.9215	10.347	2	4749	1
122	87.249	90	0	0	0.5851	12.175	-0.17466	9.888	2	2728	1
123	95.022	130	0	0	-1.0554	12.009	-1.8897	11.608	2	2709	1
124	144.92	130	0	0	-9.8323	6.9053	-10.608	4.4987	2	2449	1
125	117.88	90	0	0	-5.7438	10.859	-5.5102	9.286	2	2949	1
126	32.371	50	0	0	10.32	6.5416	10.425	3.954	2	2960	1
127	78.166	50	0	0	2.5115	11.987	2.636	11.207	2	2978	1
128	126.7	130	0	0	-7.2963	9.788	-6.3439	7.8527	2	2912	1
129	62.708	90	0	0	5.5909	10.836	5.3038	9.3147	2	2740	1
130	150.61	130	0	0	-10.959	6.1728	-9.7977	4.384	2	2949	1
131	80.278	50	0	0	2.0419	11.918	2.6837	10.089	2	2899	1
132	65.366	90	0	0	5.0867	11.093	5.4706	9.0853	2	2769	1
133	57.068	50	0	0	6.7903	10.483	7.0903	7.136	2	2844	1
134	142.07	130	0	0	-9.7853	7.6268	-9.8692	4.4413	2	2670	1
135	89.986	90	0	0	0.003	12.172	-0.1032	10.605	2	2722	1
190	111.87	90	0	0	-4.4902	11.188	-5.9151	9.4867	3	3811	1
191	78.161	50	0	0	2.4868	11.863	2.3264	10.06	3	3394	1
192	146	130	0	0	-10.008	6.7515	-9.9883	4.0973	3	2903	1
193	91.185	90	0	0	-0.2509	12.127	-0.9607	11.006	3	6149	1
194	33.945	50	0	0	9.9849	6.721	10.068	3.5813	3	2913	1
195	125.04	130	0	0	-6.9025	9.8415	-6.3201	8.4833	3	3205	1
196	67.976	90	0	0	4.5482	11.243	5.4706	9.1427	3	2983	1
197	82.995	50	0	0	1.4899	12.125	2.3502	10.576	3	3133	1
198	127.9	130	0	0	-7.3765	9.4743	-6.3439	9.286	3	2729	1
199	101.8	130	0	0	-2.4684	11.82	-2.3899	11.436	3	2769	1
200	84.54	50	0	0	1.1621	12.157	2.6122	10.089	3	2685	1
201	65.603	90	0	0	5.0367	11.105	4.9942	10.089	3	3759	1
202	122.31	90	0	0	-6.4279	10.164	-5.0815	9.4007	3	2961	1
203	101.7	130	0	0	-2.4445	11.803	-2.9139	10.748	3	3043	1
204	82.344	50	0	0	1.6287	12.116	2.1596	10.805	3	3369	1
205	88.917	90	0	0	0.2289	12.114	0.18264	11.264	3	3529	1
206	35.25	50	0	0	10.035	7.0921	10.568	4.04	3	2933	1
207	144.25	130	0	0	-9.7779	7.0387	-9.8454	5.0147	3	2979	1
262	56.933	50	0	0	6.5558	10.069	6.5424	8.4833	4	6216	1
263	129.24	130	0	0	-7.6977	9.4245	-8.0113	7.824	4	2749	1
264	60.708	90	0	0	5.9021	10.521	5.018	9.6873	4	2891	1
265	121.12	90	0	0	-6.2849	10.412	-6.2486	9.372	4	2889	1
266	125.13	130	0	0	-6.9381	9.8611	-6.6059	8.77	4	2828	1
267	32.463	50	0	0	10.228	6.5066	10.973	3.1513	4	2951	1
268	86.307	90	0	0	0.79	12.238	-0.46049	10.605	4	3248	1
269	86.284	50	0	0	0.7819	12.037	1.5403	11.006	4	3132	1
270	97.219	130	0	0	-1.5158	11.967	-2.2231	10.777	4	2790	1
271	115.51	90	0	0	-5.2058	10.908	-5.6055	10.117	4	3520	1
272	122.32	130	0	0	-6.5556	10.36	-7.1538	8.6553	4	2929	1
273	78.344	50	0	0	2.4362	11.809	5.0418	9.8307	4	2826	1
274	122.58	90	0	0	-6.4861	10.151	-5.6531	9.372	4	2641	1
275	35.726	50	0	0	9.9252	7.1389	10.354	4.4127	4	2754	1
276	123.48	130	0	0	-6.7993	10.281	-7.4634	8.598	4	2766	1
277	75.958	90	0	0	2.9733	11.888	3.7556	9.9167	4	3208	1
278	85.333	50	0	0	0.9906	12.134	1.6118	11.264	4	3189	1
279	109.62	130	0	0	-4.0454	11.35	-6.0819	9.114	4	3364	1
