trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
139	164.69	130	0	0	-10.871	2.9751	-10.679	3.524	1	2709	1
140	131.16	90	0	0	-7.6965	8.8051	-5.939	9.544	1	2529	1
141	36.565	50	0	0	9.4301	6.9945	10.854	4.0687	1	2749	1
142	16.783	50	0	0	11.353	3.4241	10.735	4.04	1	2748	1
143	122.9	90	0	0	-6.298	9.7349	-5.4626	9.7733	1	2734	1
144	166.2	130	0	0	-10.827	2.6598	-9.9406	3.8393	1	2590	1
145	83.257	90	0	0	1.3273	11.226	3.7556	10.404	1	2729	1
146	38.759	50	0	0	8.822	7.0827	10.663	4.384	1	2629	1
147	144.15	130	0	0	-9.3521	6.7582	-9.9644	4.4127	1	2669	1
148	144.1	130	0	0	-9.4514	6.8412	-9.8692	4.9	1	2634	1
149	53.467	50	0	0	7.1763	9.6865	10.52	4.8713	1	3289	1
150	119.6	90	0	0	-5.5814	9.8252	-5.6055	9.4867	1	2719	1
151	119.92	90	0	0	-5.5845	9.703	-5.0815	9.5153	1	2669	1
152	45.788	50	0	0	7.7757	7.9926	9.5913	4.298	1	2729	1
153	142.47	130	0	0	-9.0562	6.9576	-9.8692	5.1007	1	2469	1
154	49.932	50	0	0	7.3057	8.6856	10.33	5.3873	1	2649	1
155	150.54	130	0	0	-9.6664	5.4599	-9.7263	4.6133	1	2449	1
156	106.8	90	0	0	-3.3437	11.074	-3.9143	10.031	1	2749	1
283	63.313	50	0	0	5.0856	10.117	9.4722	6.3333	2	3522	1
284	145.26	130	0	0	-9.2086	6.3857	-10.084	6.0467	2	2549	1
285	125.87	90	0	0	-6.6167	9.1511	-5.1767	9.0567	2	2709	1
286	61.082	50	0	0	5.612	10.159	10.354	5.33	2	2689	1
287	128.62	90	0	0	-7.307	9.148	-5.1291	9.458	2	2709	1
288	157.83	130	0	0	-10.366	4.224	-10.131	4.6707	2	2669	1
289	59.485	50	0	0	5.8262	9.8849	10.33	5.5307	2	2649	1
290	116.9	90	0	0	-5.1876	10.224	-4.3431	10.089	2	2769	1
291	154.32	130	0	0	-10.265	4.935	-9.6548	4.6993	2	2749	1
292	140.7	130	0	0	-8.7089	7.128	-9.369	5.9607	2	2688	1
293	56.154	50	0	0	6.1651	9.1935	10.663	7.0213	2	2770	1
294	119.83	90	0	0	-5.5226	9.6318	-4.6289	10.834	2	3191	1
295	151.57	130	0	0	-9.9191	5.3703	-9.2022	5.158	2	3009	1
296	90.88	90	0	0	-0.1752	11.404	1.9691	11.895	2	2670	1
297	58.333	50	0	0	6.0746	9.8484	9.5437	6.5913	2	2828	1
298	148.39	130	0	0	-9.6975	5.9677	-9.9406	5.6167	2	2690	1
299	57.523	50	0	0	6.0579	9.5174	9.1626	7.2793	2	2789	1
300	126.18	90	0	0	-6.5624	8.9715	-5.2244	10.06	2	2868	1
427	61.538	50	0	0	5.543	10.225	9.0673	7.1073	3	2784	1
428	141.62	130	0	0	-9.0078	7.1347	-9.5595	5.2153	3	2710	1
429	109.05	90	0	0	-3.7084	10.741	-2.1517	10.719	3	2769	1
430	112.36	90	0	0	-4.2905	10.432	-3.6285	10.662	3	3049	1
431	55.83	50	0	0	6.2984	9.2781	10.044	5.4733	3	2629	1
432	143.18	130	0	0	-9.0066	6.7437	-10.465	6.2187	3	2689	1
433	142.25	130	0	0	-8.9564	6.935	-9.0355	4.7567	3	2689	1
434	51.398	50	0	0	7.1393	8.9427	10.044	5.502	3	2669	1
435	111.42	90	0	0	-4.0932	10.431	-4.224	10.089	3	2914	1
436	65.353	50	0	0	4.731	10.311	8.186	7.91	3	2689	1
437	125.92	90	0	0	-6.5207	9.0014	-4.8671	9.5153	3	2649	1
438	147.28	130	0	0	-9.4622	6.0793	-9.0593	6.448	3	2669	1
439	60.771	50	0	0	5.5841	9.9796	10.163	7.4513	3	2729	1
440	149.65	130	0	0	-9.7507	5.7098	-8.9879	5.4733	3	2649	1
441	114.38	90	0	0	-4.6524	10.267	-2.4137	10.691	3	3829	1
442	109.88	90	0	0	-3.8202	10.563	-3.4379	10.318	3	2869	1
443	142.11	130	0	0	-8.8611	6.8952	-9.0355	5.8747	3	2769	1
444	62.508	50	0	0	5.2678	10.123	9.6866	6.018	3	2729	1
571	156.46	130	0	0	-10.315	4.4946	-9.3928	5.3587	4	4191	1
572	63.58	50	0	0	4.9981	10.06	8.0907	7.0213	4	2648	1
573	109.37	90	0	0	-3.7596	10.693	-3.9858	11.895	4	2770	1
574	57.184	50	0	0	6.1661	9.5621	9.1626	6.5627	4	2709	1
575	123.37	90	0	0	-6.1801	9.3821	-3.3903	9.9167	4	2749	1
576	144.96	130	0	0	-9.2093	6.4573	-8.3447	6.62	4	2729	1
577	91.077	90	0	0	-0.2128	11.324	1.8976	10.576	4	2869	1
578	142.69	130	0	0	-8.8864	6.7725	-8.6544	6.8493	4	2708	1
579	65.37	50	0	0	4.8025	10.475	7.3761	7.652	4	2709	1
580	111.73	90	0	0	-4.0914	10.263	-3.3903	10.719	4	2689	1
581	138.25	130	0	0	-8.3486	7.4506	-8.7258	6.19	4	2589	1
582	60.944	50	0	0	5.5516	9.9925	9.3055	7.2793	4	2639	1
583	62.367	50	0	0	5.3165	10.155	8.972	7.8527	4	2729	1
584	142.92	130	0	0	-8.9211	6.7412	-9.6786	6.276	4	2689	1
585	93.369	90	0	0	-0.659	11.193	1.7785	11.006	4	2749	1
586	67.307	50	0	0	4.284	10.245	9.496	7.5087	4	2829	1
587	106.29	90	0	0	-3.1175	10.671	-1.6038	11.866	4	2549	1
588	140.31	130	0	0	-8.4726	7.0312	-8.3924	7.8813	4	2669	1
