Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
139	134.19648831	90	0.0	-0.085	-0.077508	-0.005287	1010	674	1	3743
140	115.243172999	130	0.0	-0.085	-0.047413	0.015561	910	691	1	3712
141	65.9951268529	50	0.0	-0.085	0.046513	0.019446	510	633	1	4588
142	136.415860666	130	0.0	-0.085	-0.081135	-0.007779	1152	567	1	4032
143	64.138140208	50	0.0	-0.085	0.049402	0.016912	502	642	1	4268
144	69.244158363	90	0.0	-0.085	0.039966	0.020456	569	675	1	3849
145	116.522447324	90	0.0	-0.085	-0.049954	0.015094	1021	672	1	3552
146	137.547160428	130	0.0	-0.085	-0.082811	-0.009243	1096	616	1	3869
147	73.9910243768	50	0.0	-0.085	0.031851	0.026012	675	694	1	3689
148	140.60442895	130	0.0	-0.085	-0.085950	-0.014411	1140	583	1	3625
149	82.976498051	90	0.0	-0.085	0.013662	0.025892	649	689	1	4223
150	63.8367056909	50	0.0	-0.085	0.049270	0.015292	560	659	1	3909
151	38.6193923529	50	0.0	-0.085	0.087529	-0.015078	326	470	1	4545
152	138.799846501	130	0.0	-0.085	-0.084938	-0.010642	1196	549	1	4279
153	71.0161544042	90	0.0	-0.085	0.037014	0.022595	581	675	1	4270
154	139.873236068	130	0.0	-0.085	-0.084787	-0.013535	1152	575	1	4090
155	67.8144246747	90	0.0	-0.085	0.042836	0.020042	574	668	1	4858
156	59.165776996	50	0.0	-0.085	0.058711	0.013355	486	617	1	4935
283	111.372739821	90	0.0	-0.085	-0.040324	0.018039	997	677	2	3570
284	114.480797777	130	0.0	-0.085	-0.046400	0.016906	917	677	2	3937
285	65.9418716325	50	0.0	-0.085	0.046941	0.020144	576	686	2	4335
286	46.0579254605	50	0.0	-0.085	0.078267	-0.003788	368	521	2	4247
287	140.823387509	130	0.0	-0.085	-0.087191	-0.013948	1204	525	2	4167
288	76.6517301062	90	0.0	-0.085	0.026241	0.025591	611	688	2	4463
289	142.305815183	130	0.0	-0.085	-0.087907	-0.017072	1205	523	2	3918
290	84.7644828441	90	0.0	-0.085	0.010299	0.027395	754	726	2	4159
291	73.8242009485	50	0.0	-0.085	0.031755	0.024474	602	683	2	3825
292	117.407134201	130	0.0	-0.085	-0.051098	0.013548	969	661	2	4143
293	122.303205163	90	0.0	-0.085	-0.059077	0.008439	1016	667	2	3453
294	40.5768080632	50	0.0	-0.085	0.085203	-0.012032	330	469	2	3749
295	66.977186303	50	0.0	-0.085	0.044275	0.019190	542	650	2	4242
296	119.286812733	130	0.0	-0.085	-0.054386	0.011967	1025	670	2	3851
297	105.058168656	90	0.0	-0.085	-0.028875	0.022327	885	698	2	3932
298	49.8172157399	50	0.0	-0.085	0.071601	-0.000220	352	505	2	4292
299	73.8091894483	90	0.0	-0.085	0.031467	0.023375	613	678	2	4444
300	133.184110933	130	0.0	-0.085	-0.075805	-0.004231	1147	575	2	3758
427	71.5112474251	50	0.0	-0.085	0.035134	0.020073	534	662	3	3721
428	108.047853953	90	0.0	-0.085	-0.034600	0.021186	850	732	3	4402
429	117.51145431	130	0.0	-0.085	-0.051729	0.014322	1004	686	3	3732
430	151.60028488	130	0.0	-0.085	-0.097895	-0.032069	1234	483	3	3492
431	65.2700113485	50	0.0	-0.085	0.047347	0.017798	516	645	3	4132
432	117.828329836	90	0.0	-0.085	-0.052461	0.014382	981	687	3	3780
433	39.5407588913	50	0.0	-0.085	0.087334	-0.012903	333	454	3	4138
434	105.594678168	90	0.0	-0.085	-0.029934	0.022250	905	704	3	4377
435	110.344176085	130	0.0	-0.085	-0.039262	0.020888	966	710	3	4319
436	155.514182354	130	0.0	-0.085	-0.101228	-0.038898	1218	512	3	3681
437	95.4460926342	90	0.0	-0.085	-0.010695	0.027178	792	722	3	3739
438	54.6366551755	50	0.0	-0.085	0.065208	0.006881	520	643	3	4080
439	67.3643700451	50	0.0	-0.085	0.044007	0.020535	507	631	3	4306
440	133.380647191	130	0.0	-0.085	-0.076685	-0.003853	1143	575	3	4401
441	111.562615546	90	0.0	-0.085	-0.040921	0.018552	883	702	3	5730
442	123.304593757	130	0.0	-0.085	-0.061344	0.008371	984	686	3	4042
443	61.6921266858	50	0.0	-0.085	0.053260	0.013882	502	646	3	3884
