Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
73	90	528.185970636	119.414355628	0.000057	-0.084467	528	395	0.0	-0.085	0	0	1	0	20
73	90	528.234910277	119.672104405	0.000072	-0.084388	528	395	0.0	-0.085	0	0	1	0	24
73	90	528.150081566	120.014681892	0.000046	-0.084283	528	395	0.0	-0.085	0	0	1	0	41
73	90	528.388254486	120.445350734	0.000119	-0.084151	528	395	0.0	-0.085	0	0	1	0	61
73	90	528.629690049	120.876019576	0.000193	-0.084019	528	395	0.0	-0.085	0	0	1	0	81
73	90	529.096247961	121.306688418	0.000336	-0.083887	528	395	0.0	-0.085	0	0	1	0	101
73	90	529.386623165	121.995106036	0.000425	-0.083676	528	395	0.0	-0.085	0	0	1	0	121
73	90	529.128874388	123.026101142	0.000346	-0.083360	528	395	0.0	-0.085	0	0	1	0	141
73	90	528.841761827	124.663947798	0.000258	-0.082858	528	395	0.0	-0.085	0	0	1	0	161
73	90	528.610114192	126.993474715	0.000187	-0.082144	528	395	0.0	-0.085	0	0	1	0	181
73	90	528.303425775	130.106035889	0.000093	-0.081190	528	395	0.0	-0.085	0	0	1	0	201
73	90	528.110929853	134.615008157	0.000034	-0.079808	528	395	0.0	-0.085	0	0	1	0	221
73	90	527.716150082	140.882544861	-0.000087	-0.077887	528	395	0.0	-0.085	0	0	1	0	241
73	90	527.340946166	148.92822186	-0.000202	-0.075421	528	395	0.0	-0.085	0	0	1	0	261
73	90	526.616639478	158.872756933	-0.000424	-0.072373	528	395	0.0	-0.085	0	0	1	0	281
73	90	526.254486134	170.572593801	-0.000535	-0.068787	528	395	0.0	-0.085	0	0	1	0	301
73	90	525.618270799	184.334420881	-0.000730	-0.064569	528	395	0.0	-0.085	0	0	1	0	322
73	90	524.779771615	200.308319739	-0.000987	-0.059673	528	395	0.0	-0.085	0	0	1	0	341
73	90	523.507340946	218.089722675	-0.001377	-0.054223	528	395	0.0	-0.085	0	0	1	0	361
73	90	522.623164763	236.990212072	-0.001648	-0.048430	528	395	0.0	-0.085	0	0	1	0	381
73	90	521.716150082	257.323001631	-0.001926	-0.042198	528	395	0.0	-0.085	0	0	1	0	401
73	90	520.949429038	278.367047308	-0.002161	-0.035748	528	395	0.0	-0.085	0	0	1	0	421
73	90	520.486133768	299.84502447	-0.002303	-0.029165	528	395	0.0	-0.085	0	0	1	0	441
73	90	520.362153344	321.081566069	-0.002341	-0.022656	528	395	0.0	-0.085	0	0	1	0	461
73	90	520.535073409	341.763458401	-0.002288	-0.016317	528	395	0.0	-0.085	0	0	1	0	481
73	90	520.215334421	362.168026101	-0.002386	-0.010063	528	395	0.0	-0.085	0	0	1	0	501
73	90	520.10766721	381.07177814	-0.002419	-0.004269	528	395	0.0	-0.085	0	0	1	0	521
73	90	520.143556281	398.327895595	-0.002408	0.001020	528	395	0.0	-0.085	0	0	1	0	541
73	90	519.765089723	414.200652529	-0.002524	0.005885	528	395	0.0	-0.085	0	0	1	0	561
73	90	519.340946166	428.044045677	-0.002654	0.010128	528	395	0.0	-0.085	0	0	1	0	581
73	90	518.98858075	440.220228385	-0.002762	0.013860	528	395	0.0	-0.085	0	0	1	0	601
73	90	518.398042414	450.817292007	-0.002943	0.017108	528	395	0.0	-0.085	0	0	1	0	621
73	90	517.781402936	459.802610114	-0.003132	0.019862	528	395	0.0	-0.085	0	0	1	0	641
73	90	517.096247961	467.36867863	-0.003342	0.022181	528	395	0.0	-0.085	0	0	1	0	661
73	90	516.182707993	473.815660685	-0.003622	0.024157	528	395	0.0	-0.085	0	0	1	0	681
73	90	515.314845024	479.23817292	-0.003888	0.025819	528	395	0.0	-0.085	0	0	1	0	701
73	90	513.76182708	484.259380098	-0.004364	0.027358	528	395	0.0	-0.085	-0.004364	0.027358	1	0	1468
74	130	530.061990212	114.611745514	0.000632	-0.085939	528	395	0.0	-0.085	0	0	1	0	19
74	130	530.469820555	114.099510604	0.000757	-0.086096	528	395	0.0	-0.085	0	0	1	0	23
74	130	531.738988581	113.417618271	0.001146	-0.086305	528	395	0.0	-0.085	0	0	1	0	41
74	130	532.737357259	112.647634584	0.001452	-0.086541	528	395	0.0	-0.085	0	0	1	0	61
74	130	533.419249592	112.223491028	0.001661	-0.086671	528	395	0.0	-0.085	0	0	1	0	81
74	130	533.693311582	112.053833605	0.001745	-0.086723	528	395	0.0	-0.085	0	0	1	0	101
74	130	533.693311582	112.053833605	0.001745	-0.086723	528	395	0.0	-0.085	0	0	1	0	121
74	130	533.239804241	112.477977162	0.001606	-0.086593	528	395	0.0	-0.085	0	0	1	0	141
74	130	531.510603589	113.417618271	0.001076	-0.086305	528	395	0.0	-0.085	0	0	1	0	161
74	130	529.370309951	114.611745514	0.000420	-0.085939	528	395	0.0	-0.085	0	0	1	0	181
74	130	525.507340946	116.755301794	-0.000764	-0.085282	528	395	0.0	-0.085	0	0	1	0	201
74	130	520.831973899	119.424143556	-0.002197	-0.084464	528	395	0.0	-0.085	0	0	1	0	221
74	130	515.125611746	122.63132137	-0.003946	-0.083481	528	395	0.0	-0.085	0	0	1	0	241
74	130	507.637846656	127.16639478	-0.006241	-0.082091	528	395	0.0	-0.085	0	0	1	0	261
74	130	498.959216966	132.536704731	-0.008901	-0.080445	528	395	0.0	-0.085	0	0	1	0	281
74	130	488.939641109	139.022838499	-0.011972	-0.078457	528	395	0.0	-0.085	0	0	1	0	301
74	130	476.662316476	147.293637847	-0.015735	-0.075922	528	395	0.0	-0.085	0	0	1	0	321
74	130	462.740619902	156.862969005	-0.020002	-0.072989	528	395	0.0	-0.085	0	0	1	0	341
74	130	447.2137031	167.783034258	-0.024761	-0.069642	528	395	0.0	-0.085	0	0	1	0	361
74	130	431.181076672	179.799347471	-0.029675	-0.065959	528	395	0.0	-0.085	0	0	1	0	381
74	130	414.799347471	192.846655791	-0.034696	-0.061960	528	395	0.0	-0.085	0	0	1	0	401
74	130	398.287112561	206.48776509	-0.039757	-0.057779	528	395	0.0	-0.085	0	0	1	0	421
74	130	380.776508972	221.430668842	-0.045124	-0.053199	528	395	0.0	-0.085	0	0	1	0	441
74	130	363.931484502	236.406199021	-0.050287	-0.048609	528	395	0.0	-0.085	0	0	1	0	461
74	130	347.128874388	251.910277325	-0.055437	-0.043857	528	395	0.0	-0.085	0	0	1	0	481
74	130	331.406199021	266.735725938	-0.060256	-0.039313	528	395	0.0	-0.085	0	0	1	0	501
74	130	316.805872757	281.114192496	-0.064731	-0.034906	528	395	0.0	-0.085	0	0	1	0	521
74	130	303.259380098	294.539967374	-0.068883	-0.030791	528	395	0.0	-0.085	0	0	1	0	541
74	130	290.783034258	307.453507341	-0.072707	-0.026833	528	395	0.0	-0.085	0	0	1	0	561
74	130	279.866231648	318.990212072	-0.076053	-0.023297	528	395	0.0	-0.085	0	0	1	0	581
74	130	269.562805873	329.799347471	-0.079211	-0.019984	528	395	0.0	-0.085	0	0	1	0	601
74	130	260.665579119	339.075040783	-0.081938	-0.017141	528	395	0.0	-0.085	0	0	1	0	621
74	130	252.659053834	347.430668842	-0.084392	-0.014580	528	395	0.0	-0.085	0	0	1	0	641
74	130	245.716150082	355.019575856	-0.086520	-0.012254	528	395	0.0	-0.085	-0.086520	-0.012254	1	0	1408
75	50	530.345840131	117.182707993	0.000719	-0.085151	528	395	0.0	-0.085	0	0	1	0	19
75	50	531.11908646	116.755301794	0.000956	-0.085282	528	395	0.0	-0.085	0	0	1	0	23
75	50	532.584013051	116.500815661	0.001405	-0.085360	528	395	0.0	-0.085	0	0	1	0	41
75	50	534.508972268	116.161500816	0.001995	-0.085464	528	395	0.0	-0.085	0	0	1	0	61
75	50	536.623164763	115.998368679	0.002643	-0.085514	528	395	0.0	-0.085	0	0	1	0	81
75	50	538.473083197	116.432300163	0.003210	-0.085381	528	395	0.0	-0.085	0	0	1	0	101
75	50	540.225122349	116.784665579	0.003747	-0.085273	528	395	0.0	-0.085	0	0	1	0	121
75	50	542.345840131	117.052202284	0.004397	-0.085191	528	395	0.0	-0.085	0	0	1	0	141
75	50	544.926590538	117.329526917	0.005188	-0.085106	528	395	0.0	-0.085	0	0	1	0	161
75	50	547.970636215	118.037520392	0.006121	-0.084889	528	395	0.0	-0.085	0	0	1	0	181
75	50	552.16639478	119.192495922	0.007407	-0.084535	528	395	0.0	-0.085	0	0	1	0	201
75	50	557.69004894	120.543230016	0.009100	-0.084121	528	395	0.0	-0.085	0	0	1	0	221
75	50	564.818923328	122.794453507	0.011285	-0.083431	528	395	0.0	-0.085	0	0	1	0	241
75	50	573.311582382	125.955954323	0.013888	-0.082462	528	395	0.0	-0.085	0	0	1	0	261
75	50	583.791190865	129.805872757	0.017100	-0.081282	528	395	0.0	-0.085	0	0	1	0	281
75	50	596.048939641	134.63132137	0.020857	-0.079803	528	395	0.0	-0.085	0	0	1	0	301
75	50	610.381729201	140.566068515	0.025250	-0.077984	528	395	0.0	-0.085	0	0	1	0	321
75	50	626.982055465	147.228384992	0.030338	-0.075942	528	395	0.0	-0.085	0	0	1	0	341
75	50	644.707993475	155.323001631	0.035771	-0.073461	528	395	0.0	-0.085	0	0	1	0	361
75	50	663.951060359	164.210440457	0.041669	-0.070737	528	395	0.0	-0.085	0	0	1	0	381
75	50	684.10766721	174.256117455	0.047847	-0.067658	528	395	0.0	-0.085	0	0	1	0	401
75	50	705.363784666	184.800978793	0.054362	-0.064426	528	395	0.0	-0.085	0	0	1	0	421
75	50	726.636215334	195.60685155	0.060882	-0.061114	528	395	0.0	-0.085	0	0	1	0	441
75	50	747.898858075	206.402936378	0.067399	-0.057805	528	395	0.0	-0.085	0	0	1	0	461
75	50	768.463295269	216.569331158	0.073702	-0.054689	528	395	0.0	-0.085	0	0	1	0	481
75	50	787.432300163	226.425774878	0.079516	-0.051668	528	395	0.0	-0.085	0	0	1	0	501
75	50	804.388254486	235.600326264	0.084713	-0.048856	528	395	0.0	-0.085	0	0	1	0	521
75	50	819.941272431	243.747145188	0.089480	-0.046359	528	395	0.0	-0.085	0	0	1	0	541
75	50	833.122349103	251.061990212	0.093520	-0.044117	528	395	0.0	-0.085	0	0	1	0	561
75	50	844.691680261	257.414355628	0.097066	-0.042170	528	395	0.0	-0.085	0	0	1	0	581
75	50	854.531810767	262.562805873	0.100082	-0.040592	528	395	0.0	-0.085	0	0	1	0	601
75	50	863.106035889	266.827079935	0.102710	-0.039285	528	395	0.0	-0.085	0.102710	-0.039285	1	0	1368
76	50	529.298531811	117.698205546	0.000398	-0.084993	528	395	0.0	-0.085	0	0	1	0	19
76	50	529.706362153	117.267536705	0.000523	-0.085125	528	395	0.0	-0.085	0	0	1	0	23
76	50	530.616639478	117.013050571	0.000802	-0.085203	528	395	0.0	-0.085	0	0	1	0	41
76	50	531.128874388	117.270799347	0.000959	-0.085124	528	395	0.0	-0.085	0	0	1	0	61
76	50	531.553017945	117.871125612	0.001089	-0.084940	528	395	0.0	-0.085	0	0	1	0	81
76	50	531.885807504	118.386623165	0.001191	-0.084782	528	395	0.0	-0.085	0	0	1	0	101
76	50	532.30995106	118.986949429	0.001321	-0.084598	528	395	0.0	-0.085	0	0	1	0	121
76	50	532.652528548	119.933115824	0.001426	-0.084308	528	395	0.0	-0.085	0	0	1	0	141
76	50	533.050570962	121.567699837	0.001548	-0.083807	528	395	0.0	-0.085	0	0	1	0	161
76	50	533.504078303	123.893964111	0.001687	-0.083094	528	395	0.0	-0.085	0	0	1	0	181
76	50	534.659053834	127.091353997	0.002041	-0.082114	528	395	0.0	-0.085	0	0	1	0	201
76	50	535.1908646	131.851549755	0.002204	-0.080655	528	395	0.0	-0.085	0	0	1	0	221
76	50	536.962479608	137.587275693	0.002747	-0.078897	528	395	0.0	-0.085	0	0	1	0	241
76	50	539.057096248	145.185970636	0.003389	-0.076568	528	395	0.0	-0.085	0	0	1	0	261
76	50	541.22675367	154.676998369	0.004054	-0.073659	528	395	0.0	-0.085	0	0	1	0	281
76	50	543.957585644	166.360522023	0.004891	-0.070078	528	395	0.0	-0.085	0	0	1	0	301
76	50	547.438825449	179.84502447	0.005958	-0.065945	528	395	0.0	-0.085	0	0	1	0	321
76	50	551.269168026	195.71451876	0.007132	-0.061081	528	395	0.0	-0.085	0	0	1	0	341
76	50	555.676998369	213.858075041	0.008483	-0.055520	528	395	0.0	-0.085	0	0	1	0	361
76	50	559.592169657	234.425774878	0.009683	-0.049216	528	395	0.0	-0.085	0	0	1	0	381
76	50	563.947797716	257.13050571	0.011018	-0.042257	528	395	0.0	-0.085	0	0	1	0	401
76	50	568.972267537	280.915171289	0.012558	-0.034967	528	395	0.0	-0.085	0	0	1	0	421
76	50	574.551386623	305.221859706	0.014268	-0.027517	528	395	0.0	-0.085	0	0	1	0	441
76	50	580.825448613	329.0	0.016191	-0.020229	528	395	0.0	-0.085	0	0	1	0	461
76	50	586.88091354	352.086460033	0.018047	-0.013153	528	395	0.0	-0.085	0	0	1	0	481
76	50	592.117455139	374.435562806	0.019652	-0.006303	528	395	0.0	-0.085	0	0	1	0	501
76	50	596.424143556	395.796084829	0.020972	0.000244	528	395	0.0	-0.085	0	0	1	0	521
76	50	600.528548124	415.133768352	0.022230	0.006171	528	395	0.0	-0.085	0	0	1	0	541
76	50	603.621533442	432.562805873	0.023178	0.011513	528	395	0.0	-0.085	0	0	1	0	561
76	50	606.538336052	447.753670473	0.024072	0.016169	528	395	0.0	-0.085	0	0	1	0	581
76	50	608.685154976	461.153344209	0.024730	0.020276	528	395	0.0	-0.085	0	0	1	0	601
76	50	610.159869494	472.520391517	0.025182	0.023760	528	395	0.0	-0.085	0	0	1	0	621
76	50	611.070146819	482.24959217	0.025461	0.026742	528	395	0.0	-0.085	0.025461	0.026742	1	0	1388
77	130	530.352365416	115.296900489	0.000721	-0.085729	528	395	0.0	-0.085	0	0	1	0	19
77	130	530.991843393	114.699836868	0.000917	-0.085912	528	395	0.0	-0.085	0	0	1	0	23
77	130	533.037520392	113.760195759	0.001544	-0.086200	528	395	0.0	-0.085	0	0	1	0	41
77	130	534.221859706	113.16639478	0.001907	-0.086382	528	395	0.0	-0.085	0	0	1	0	61
77	130	534.544861338	113.251223491	0.002006	-0.086356	528	395	0.0	-0.085	0	0	1	0	81
77	130	534.502446982	113.424143556	0.001993	-0.086303	528	395	0.0	-0.085	0	0	1	0	101
77	130	533.915171289	113.933115824	0.001813	-0.086147	528	395	0.0	-0.085	0	0	1	0	121
77	130	532.685154976	114.703099511	0.001436	-0.085911	528	395	0.0	-0.085	0	0	1	0	141
77	130	531.324632953	115.554649266	0.001019	-0.085650	528	395	0.0	-0.085	0	0	1	0	161
77	130	529.278955954	116.840130506	0.000392	-0.085256	528	395	0.0	-0.085	0	0	1	0	181
77	130	526.150081566	118.814029364	-0.000567	-0.084651	528	395	0.0	-0.085	0	0	1	0	201
77	130	521.853181077	121.828711256	-0.001884	-0.083727	528	395	0.0	-0.085	0	0	1	0	221
77	130	515.993474715	126.161500816	-0.003680	-0.082399	528	395	0.0	-0.085	0	0	1	0	241
77	130	509.396411093	131.306688418	-0.005702	-0.080822	528	395	0.0	-0.085	0	0	1	0	261
77	130	500.724306688	138.161500816	-0.008360	-0.078721	528	395	0.0	-0.085	0	0	1	0	282
77	130	490.326264274	146.859706362	-0.011547	-0.076055	528	395	0.0	-0.085	0	0	1	0	301
77	130	477.314845024	158.092985318	-0.015535	-0.072612	528	395	0.0	-0.085	0	0	1	0	321
77	130	462.936378467	171.117455139	-0.019942	-0.068620	528	395	0.0	-0.085	0	0	1	0	341
77	130	447.419249592	186.177814029	-0.024698	-0.064004	528	395	0.0	-0.085	0	0	1	0	361
77	130	432.329526917	202.373572594	-0.029323	-0.059040	528	395	0.0	-0.085	0	0	1	0	381
77	130	405.269168026	233.159869494	-0.037617	-0.049604	528	395	0.0	-0.085	0	0	1	0	413
77	130	401.419249592	237.626427406	-0.038797	-0.048235	528	395	0.0	-0.085	0	0	1	0	421
77	130	385.585644372	256.461663948	-0.043650	-0.042462	528	395	0.0	-0.085	0	0	1	0	441
77	130	370.247960848	275.192495922	-0.048351	-0.036721	528	395	0.0	-0.085	0	0	1	0	461
77	130	356.433931485	292.572593801	-0.052585	-0.031394	528	395	0.0	-0.085	0	0	1	0	481
77	130	343.856443719	308.748776509	-0.056440	-0.026436	528	395	0.0	-0.085	0	0	1	0	501
77	130	332.026101142	323.900489396	-0.060066	-0.021792	528	395	0.0	-0.085	0	0	1	0	521
77	130	321.331158238	337.264274062	-0.063344	-0.017696	528	395	0.0	-0.085	0	0	1	0	541
77	130	311.442088091	349.414355628	-0.066375	-0.013972	528	395	0.0	-0.085	0	0	1	0	561
77	130	302.13050571	360.331158238	-0.069229	-0.010626	528	395	0.0	-0.085	0	0	1	0	581
77	130	294.182707993	369.212071778	-0.071665	-0.007904	528	395	0.0	-0.085	0	0	1	0	601
77	130	287.053833605	376.872756933	-0.073850	-0.005556	528	395	0.0	-0.085	0	0	1	0	621
77	130	280.590538336	383.603588907	-0.075831	-0.003493	528	395	0.0	-0.085	0	0	1	0	641
77	130	274.871125612	389.486133768	-0.077584	-0.001690	528	395	0.0	-0.085	-0.077584	-0.001690	1	0	1408
78	90	531.298531811	116.585644372	0.001011	-0.085334	528	395	0.0	-0.085	0	0	1	0	19
78	90	532.303425775	116.243066884	0.001319	-0.085439	528	395	0.0	-0.085	0	0	1	0	23
78	90	533.947797716	115.646003263	0.001823	-0.085622	528	395	0.0	-0.085	0	0	1	0	41
78	90	536.336052202	115.30995106	0.002555	-0.085725	528	395	0.0	-0.085	0	0	1	0	61
78	90	537.911908646	115.91680261	0.003038	-0.085539	528	395	0.0	-0.085	0	0	1	0	81
78	90	539.526916803	116.353996737	0.003533	-0.085405	528	395	0.0	-0.085	0	0	1	0	101
78	90	540.965742251	117.045676998	0.003974	-0.085193	528	395	0.0	-0.085	0	0	1	0	121
78	90	542.316476346	118.08319739	0.004388	-0.084875	528	395	0.0	-0.085	0	0	1	0	141
78	90	543.76182708	119.636215334	0.004831	-0.084399	528	395	0.0	-0.085	0	0	1	0	161
78	90	545.765089723	121.71451876	0.005445	-0.083762	528	395	0.0	-0.085	0	0	1	0	181
78	90	548.326264274	124.752039152	0.006230	-0.082831	528	395	0.0	-0.085	0	0	1	0	201
78	90	551.941272431	129.016313214	0.007338	-0.081524	528	395	0.0	-0.085	0	0	1	0	221
78	90	555.827079935	135.300163132	0.008529	-0.079598	528	395	0.0	-0.085	0	0	1	0	241
