Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
139	50	527.621533442	118.898858075	-0.000116	-0.084625	528	395	0.0	-0.085	0	0	1	0	20
139	50	527.445350734	119.156606852	-0.000170	-0.084546	528	395	0.0	-0.085	0	0	1	0	24
139	50	527.494290375	119.414355628	-0.000155	-0.084467	528	395	0.0	-0.085	0	0	1	0	41
139	50	527.546492659	119.672104405	-0.000139	-0.084388	528	395	0.0	-0.085	0	0	1	0	61
139	50	527.598694943	119.929853181	-0.000123	-0.084309	528	395	0.0	-0.085	0	0	1	0	81
139	50	527.513866232	120.272430669	-0.000149	-0.084204	528	395	0.0	-0.085	0	0	1	0	101
139	50	527.52365416	120.703099511	-0.000146	-0.084072	528	395	0.0	-0.085	0	0	1	0	121
139	50	527.445350734	121.47634584	-0.000170	-0.083835	528	395	0.0	-0.085	0	0	1	0	141
139	50	527.755301794	123.026101142	-0.000075	-0.083360	528	395	0.0	-0.085	0	0	1	0	161
139	50	528.163132137	125.094616639	0.000050	-0.082726	528	395	0.0	-0.085	0	0	1	0	181
139	50	529.135399674	128.11908646	0.000348	-0.081799	528	395	0.0	-0.085	0	0	1	0	201
139	50	529.993474715	132.533442088	0.000611	-0.080446	528	395	0.0	-0.085	0	0	1	0	221
139	50	531.683523654	138.184339315	0.001129	-0.078714	528	395	0.0	-0.085	0	0	1	0	241
139	50	533.380097879	145.603588907	0.001649	-0.076440	528	395	0.0	-0.085	0	0	1	0	261
139	50	535.660685155	154.738988581	0.002348	-0.073640	528	395	0.0	-0.085	0	0	1	0	281
139	50	538.323001631	165.44045677	0.003164	-0.070360	528	395	0.0	-0.085	0	0	1	0	301
139	50	540.893964111	178.187601958	0.003952	-0.066453	528	395	0.0	-0.085	0	0	1	0	321
139	50	544.381729201	192.494290375	0.005021	-0.062068	528	395	0.0	-0.085	0	0	1	0	341
139	50	547.239804241	208.657422512	0.005897	-0.057114	528	395	0.0	-0.085	0	0	1	0	361
139	50	550.195758564	226.83360522	0.006803	-0.051543	528	395	0.0	-0.085	0	0	1	0	381
139	50	553.22675367	246.608482871	0.007732	-0.045482	528	395	0.0	-0.085	0	0	1	0	401
139	50	555.686786297	268.305057096	0.008486	-0.038832	528	395	0.0	-0.085	0	0	1	0	421
139	50	558.867862969	291.042414356	0.009461	-0.031863	528	395	0.0	-0.085	0	0	1	0	441
139	50	561.63132137	314.543230016	0.010308	-0.024660	528	395	0.0	-0.085	0	0	1	0	461
139	50	564.884176183	338.145187602	0.011305	-0.017426	528	395	0.0	-0.085	0	0	1	0	481
139	50	568.469820555	361.146818923	0.012404	-0.010376	528	395	0.0	-0.085	0	0	1	0	501
139	50	571.849918434	383.60685155	0.013440	-0.003492	528	395	0.0	-0.085	0	0	1	0	521
139	50	575.380097879	404.5954323	0.014522	0.002941	528	395	0.0	-0.085	0	0	1	0	541
139	50	578.577487765	424.455138662	0.015502	0.009028	528	395	0.0	-0.085	0	0	1	0	561
139	50	581.735725938	442.128874388	0.016470	0.014445	528	395	0.0	-0.085	0	0	1	0	581
139	50	584.140293638	458.164763458	0.017207	0.019360	528	395	0.0	-0.085	0	0	1	0	601
139	50	586.270799347	472.01141925	0.017860	0.023604	528	395	0.0	-0.085	0	0	1	0	621
139	50	587.735725938	484.458401305	0.018309	0.027419	528	395	0.0	-0.085	0.018309	0.027419	1	0	1388
140	130	528.195758564	115.639477977	0.000060	-0.085624	528	395	0.0	-0.085	0	0	1	0	19
140	130	528.466557912	115.469820555	0.000143	-0.085676	528	395	0.0	-0.085	0	0	1	0	23
140	130	528.508972268	115.296900489	0.000156	-0.085729	528	395	0.0	-0.085	0	0	1	0	41
140	130	528.228384992	115.039151713	0.000070	-0.085808	528	395	0.0	-0.085	0	0	1	0	61
140	130	527.853181077	114.696574225	-0.000045	-0.085913	528	395	0.0	-0.085	0	0	1	0	81
140	130	527.298531811	114.611745514	-0.000215	-0.085939	528	395	0.0	-0.085	0	0	1	0	101
140	130	526.388254486	115.039151713	-0.000494	-0.085808	528	395	0.0	-0.085	0	0	1	0	121
140	130	525.298531811	115.727569331	-0.000828	-0.085597	528	395	0.0	-0.085	0	0	1	0	141
140	130	524.127243067	116.755301794	-0.001187	-0.085282	528	395	0.0	-0.085	0	0	1	0	161
140	130	522.10766721	118.905383361	-0.001806	-0.084623	528	395	0.0	-0.085	0	0	1	0	181
140	130	519.735725938	121.577487765	-0.002533	-0.083804	528	395	0.0	-0.085	0	0	1	0	201
140	130	516.172920065	125.900489396	-0.003625	-0.082479	528	395	0.0	-0.085	0	0	1	0	221
140	130	511.827079935	131.632952692	-0.004957	-0.080722	528	395	0.0	-0.085	0	0	1	0	241
140	130	506.900489396	138.970636215	-0.006467	-0.078473	528	395	0.0	-0.085	0	0	1	0	261
140	130	500.955954323	148.380097879	-0.008289	-0.075589	528	395	0.0	-0.085	0	0	1	0	281
140	130	494.143556281	159.822185971	-0.010377	-0.072082	528	395	0.0	-0.085	0	0	1	0	301
140	130	486.44045677	173.522022838	-0.012738	-0.067883	528	395	0.0	-0.085	0	0	1	0	321
140	130	478.137030995	189.365415987	-0.015283	-0.063027	528	395	0.0	-0.085	0	0	1	0	341
140	130	469.363784666	206.862969005	-0.017972	-0.057664	528	395	0.0	-0.085	0	0	1	0	361
140	130	460.437194127	225.694942904	-0.020708	-0.051892	528	395	0.0	-0.085	0	0	1	0	381
140	130	450.8091354	246.008156607	-0.023659	-0.045666	528	395	0.0	-0.085	0	0	1	0	401
140	130	441.334420881	266.879282219	-0.026563	-0.039269	528	395	0.0	-0.085	0	0	1	0	421
140	130	431.882544861	287.939641109	-0.029460	-0.032814	528	395	0.0	-0.085	0	0	1	0	441
140	130	422.825448613	308.876019576	-0.032236	-0.026397	528	395	0.0	-0.085	0	0	1	0	461
140	130	413.823817292	329.783034258	-0.034995	-0.019989	528	395	0.0	-0.085	0	0	1	0	481
140	130	405.526916803	349.923327896	-0.037538	-0.013816	528	395	0.0	-0.085	0	0	1	0	501
140	130	398.430668842	368.637846656	-0.039713	-0.008080	528	395	0.0	-0.085	0	0	1	0	521
140	130	391.774877651	386.008156607	-0.041753	-0.002756	528	395	0.0	-0.085	0	0	1	0	541
140	130	386.0	402.275693312	-0.043523	0.002230	528	395	0.0	-0.085	0	0	1	0	561
140	130	381.106035889	416.683523654	-0.045023	0.006646	528	395	0.0	-0.085	0	0	1	0	581
140	130	376.567699837	429.841761827	-0.046414	0.010679	528	395	0.0	-0.085	0	0	1	0	601
140	130	372.766721044	441.185970636	-0.047579	0.014156	528	395	0.0	-0.085	0	0	1	0	621
140	130	369.650897227	450.885807504	-0.048534	0.017129	528	395	0.0	-0.085	-0.048534	0.017129	1	0	1388
141	90	529.628058728	115.897226754	0.000499	-0.085545	528	395	0.0	-0.085	0	0	1	0	19
141	90	529.898858075	115.554649266	0.000582	-0.085650	528	395	0.0	-0.085	0	0	1	0	23
141	90	530.580750408	115.296900489	0.000791	-0.085729	528	395	0.0	-0.085	0	0	1	0	41
141	90	531.494290375	114.872756933	0.001071	-0.085859	528	395	0.0	-0.085	0	0	1	0	61
141	90	532.225122349	114.699836868	0.001295	-0.085912	528	395	0.0	-0.085	0	0	1	0	81
141	90	532.685154976	114.703099511	0.001436	-0.085911	528	395	0.0	-0.085	0	0	1	0	101
141	90	532.969004894	114.960848287	0.001523	-0.085832	528	395	0.0	-0.085	0	0	1	0	121
141	90	532.933115824	115.557911909	0.001512	-0.085649	528	395	0.0	-0.085	0	0	1	0	141
141	90	532.593800979	116.92822186	0.001408	-0.085229	528	395	0.0	-0.085	0	0	1	0	161
141	90	531.895595432	118.817292007	0.001194	-0.084650	528	395	0.0	-0.085	0	0	1	0	181
141	90	530.16639478	122.079934747	0.000664	-0.083650	528	395	0.0	-0.085	0	0	1	0	201
141	90	528.195758564	126.820554649	0.000060	-0.082197	528	395	0.0	-0.085	0	0	1	0	221
141	90	525.660685155	132.967373573	-0.000717	-0.080313	528	395	0.0	-0.085	0	0	1	0	241
141	90	522.300163132	141.150081566	-0.001747	-0.077805	528	395	0.0	-0.085	0	0	1	0	261
141	90	518.623164763	151.228384992	-0.002874	-0.074716	528	395	0.0	-0.085	0	0	1	0	281
141	90	514.492659054	163.329526917	-0.004140	-0.071007	528	395	0.0	-0.085	0	0	1	0	301
141	90	509.203915171	178.138662316	-0.005761	-0.066468	528	395	0.0	-0.085	0	0	1	0	321
141	90	503.52365416	194.911908646	-0.007502	-0.061327	528	395	0.0	-0.085	0	0	1	0	341
141	90	497.32137031	213.802610114	-0.009403	-0.055537	528	395	0.0	-0.085	0	0	1	0	361
141	90	491.474714519	233.942903752	-0.011195	-0.049364	528	395	0.0	-0.085	0	0	1	0	381
141	90	485.318107667	255.375203915	-0.013082	-0.042795	528	395	0.0	-0.085	0	0	1	0	401
141	90	479.030995106	277.84502447	-0.015009	-0.035908	528	395	0.0	-0.085	0	0	1	0	421
141	90	473.370309951	300.791190865	-0.016744	-0.028875	528	395	0.0	-0.085	0	0	1	0	441
141	90	468.153344209	323.535073409	-0.018343	-0.021904	528	395	0.0	-0.085	0	0	1	0	461
141	90	463.530179445	345.75040783	-0.019760	-0.015095	528	395	0.0	-0.085	0	0	1	0	481
141	90	459.079934747	367.424143556	-0.021124	-0.008452	528	395	0.0	-0.085	0	0	1	0	501
141	90	455.327895595	387.401305057	-0.022274	-0.002329	528	395	0.0	-0.085	0	0	1	0	521
141	90	452.026101142	405.835236542	-0.023286	0.003321	528	395	0.0	-0.085	0	0	1	0	541
141	90	448.446982055	422.810766721	-0.024383	0.008524	528	395	0.0	-0.085	0	0	1	0	561
141	90	445.840130506	437.522022838	-0.025182	0.013033	528	395	0.0	-0.085	0	0	1	0	581
141	90	443.08319739	450.582381729	-0.026027	0.017036	528	395	0.0	-0.085	0	0	1	0	601
141	90	440.261011419	462.063621533	-0.026892	0.020555	528	395	0.0	-0.085	0	0	1	0	621
141	90	437.814029364	471.717781403	-0.027642	0.023514	528	395	0.0	-0.085	0	0	1	0	641
141	90	435.106035889	480.275693312	-0.028472	0.026137	528	395	0.0	-0.085	-0.028472	0.026137	1	0	1408
142	130	529.262642741	115.982055465	0.000387	-0.085519	528	395	0.0	-0.085	0	0	1	0	19
142	130	529.670473083	115.554649266	0.000512	-0.085650	528	395	0.0	-0.085	0	0	1	0	23
142	130	530.486133768	115.212071778	0.000762	-0.085755	528	395	0.0	-0.085	0	0	1	0	41
142	130	531.210440457	114.615008157	0.000984	-0.085938	528	395	0.0	-0.085	0	0	1	0	61
142	130	531.89233279	114.187601958	0.001193	-0.086069	528	395	0.0	-0.085	0	0	1	0	81
142	130	532.16639478	114.017944535	0.001277	-0.086121	528	395	0.0	-0.085	0	0	1	0	101
142	130	531.758564437	114.272430669	0.001152	-0.086043	528	395	0.0	-0.085	0	0	1	0	121
142	130	530.707993475	114.784665579	0.000830	-0.085886	528	395	0.0	-0.085	0	0	1	0	141
142	130	529.063621533	115.381729201	0.000326	-0.085703	528	395	0.0	-0.085	0	0	1	0	161
142	130	525.641109299	116.670473083	-0.000723	-0.085308	528	395	0.0	-0.085	0	0	1	0	181
142	130	521.030995106	118.135399674	-0.002136	-0.084859	528	395	0.0	-0.085	0	0	1	0	201
142	130	514.789559543	120.223491028	-0.004049	-0.084219	528	395	0.0	-0.085	0	0	1	0	221
142	130	507.367047308	122.513866232	-0.006324	-0.083517	528	395	0.0	-0.085	0	0	1	0	241
142	130	497.464926591	125.721044046	-0.009359	-0.082534	528	395	0.0	-0.085	0	0	1	0	261
142	130	485.637846656	129.531810767	-0.012984	-0.081366	528	395	0.0	-0.085	0	0	1	0	281
142	130	470.933115824	134.778140294	-0.017491	-0.079758	528	395	0.0	-0.085	0	0	1	0	301
142	130	454.711256117	140.618270799	-0.022463	-0.077968	528	395	0.0	-0.085	0	0	1	0	321
142	130	437.318107667	147.159869494	-0.027794	-0.075963	528	395	0.0	-0.085	0	0	1	0	341
142	130	418.029363785	154.823817292	-0.033706	-0.073614	528	395	0.0	-0.085	0	0	1	0	361
142	130	398.042414356	162.810766721	-0.039832	-0.071166	528	395	0.0	-0.085	0	0	1	0	381
142	130	377.572593801	171.303425775	-0.046106	-0.068563	528	395	0.0	-0.085	0	0	1	0	401
142	130	356.815660685	179.864600326	-0.052468	-0.065939	528	395	0.0	-0.085	0	0	1	0	421
142	130	336.192495922	188.637846656	-0.058789	-0.063250	528	395	0.0	-0.085	0	0	1	0	441
142	130	315.76182708	197.264274062	-0.065051	-0.060606	528	395	0.0	-0.085	0	0	1	0	461
142	130	296.401305057	205.639477977	-0.070985	-0.058039	528	395	0.0	-0.085	0	0	1	0	481
142	130	277.311582382	213.91680261	-0.076836	-0.055502	528	395	0.0	-0.085	0	0	1	0	501
