Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
46	109.963304729	130	0.0	-0.085	-0.041103	0.028155	915	560	1	4656
47	73.8814661723	90	0.0	-0.085	0.033657	0.031466	644	607	1	5608
48	69.8995659462	50	0.0	-0.085	0.041610	0.028702	612	594	1	5032
49	104.465654913	90	0.0	-0.085	-0.030258	0.032289	902	608	1	5964
50	125.408741098	130	0.0	-0.085	-0.070576	0.014278	1111	541	1	4462
51	66.2779306376	50	0.0	-0.085	0.048712	0.025853	570	551	1	5660
52	106.592604984	130	0.0	-0.085	-0.034653	0.031296	847	591	1	7338
53	101.669350882	90	0.0	-0.085	-0.024592	0.034071	849	587	1	8905
54	38.1463853357	50	0.0	-0.085	0.096411	-0.009278	400	443	1	6022
55	93.441461505	90	0.0	-0.085	-0.007260	0.035724	808	639	1	7045
56	66.0575162495	50	0.0	-0.085	0.049211	0.025829	553	571	1	6639
57	107.221278098	130	0.0	-0.085	-0.035737	0.030296	935	599	1	9457
58	119.100516691	130	0.0	-0.085	-0.058478	0.020062	1026	537	1	7863
59	38.7688675921	50	0.0	-0.085	0.095061	-0.008654	412	482	1	6021
60	102.568765613	90	0.0	-0.085	-0.026602	0.034316	862	607	1	5564
61	30.4882298318	50	0.0	-0.085	0.103511	-0.024056	395	429	1	6293
62	113.670402201	130	0.0	-0.085	-0.048705	0.026109	976	574	1	7118
63	109.461315297	90	0.0	-0.085	-0.040155	0.028638	815	604	1	5184
118	118.152755085	130	0.0	-0.085	-0.056660	0.020880	994	568	2	4592
119	99.7995592459	90	0.0	-0.085	-0.020827	0.035581	866	620	2	4548
120	38.3152655688	50	0.0	-0.085	0.095508	-0.009531	343	378	2	4063
121	97.2082243988	90	0.0	-0.085	-0.015357	0.036423	866	619	2	6141
122	41.6005728388	50	0.0	-0.085	0.090770	-0.004409	496	407	2	4051
123	139.420681551	130	0.0	-0.085	-0.092355	-0.005900	1152	485	2	4243
124	128.452256766	130	0.0	-0.085	-0.075712	0.010346	1123	535	2	3941
125	40.2854438067	50	0.0	-0.085	0.092863	-0.006287	407	468	2	4363
126	89.6311694545	90	0.0	-0.085	0.000780	0.036167	818	628	2	7381
127	58.8889172061	50	0.0	-0.085	0.062652	0.018814	576	552	2	6628
128	71.7515663226	90	0.0	-0.085	0.038115	0.030598	619	608	2	4511
129	145.825248942	130	0.0	-0.085	-0.100391	-0.016839	1224	451	2	4508
130	129.959527675	130	0.0	-0.085	-0.077823	0.007879	1118	485	2	4453
131	36.6485812305	50	0.0	-0.085	0.097872	-0.012185	370	393	2	4677
132	94.8457882876	90	0.0	-0.085	-0.010241	0.035799	877	601	2	4655
133	34.6752928689	50	0.0	-0.085	0.098733	-0.016697	357	400	2	4223
134	117.976768535	130	0.0	-0.085	-0.057020	0.022344	1026	566	2	9789
135	99.2890145946	90	0.0	-0.085	-0.019748	0.035739	893	596	2	4889
190	116.477048049	130	0.0	-0.085	-0.054132	0.023681	953	619	3	3843
191	25.6757097624	50	0.0	-0.085	0.108442	-0.032867	349	390	3	4548
192	101.606921266	90	0.0	-0.085	-0.024938	0.036414	814	625	3	4304
193	56.6068306331	50	0.0	-0.085	0.066193	0.015413	518	572	3	5598
194	128.445311554	90	0.0	-0.085	-0.074650	0.009032	1022	581	3	4704
195	109.8053136	130	0.0	-0.085	-0.040860	0.028460	927	628	3	4766
196	63.4512521002	50	0.0	-0.085	0.054793	0.024664	544	619	3	4352
197	113.384263217	90	0.0	-0.085	-0.048294	0.026685	1004	593	3	5372
198	105.14813618	130	0.0	-0.085	-0.031570	0.031614	887	646	3	4180
199	126.312674582	130	0.0	-0.085	-0.072949	0.014262	916	596	3	4243
200	94.8381942084	90	0.0	-0.085	-0.010233	0.035895	839	640	3	3797
201	59.3801347849	50	0.0	-0.085	0.062246	0.020169	566	592	3	3735
202	112.134726692	130	0.0	-0.085	-0.046509	0.029339	980	642	3	4335
203	98.3024282754	90	0.0	-0.085	-0.017368	0.034018	864	670	3	3700
204	50.1336087835	50	0.0	-0.085	0.077857	0.008227	432	523	3	3893
205	143.55466296	130	0.0	-0.085	-0.098117	-0.012542	1142	494	3	4509
206	20.817227645	50	0.0	-0.085	0.113493	-0.041849	360	414	3	4138
207	88.8338034807	90	0.0	-0.085	0.002466	0.036139	834	655	3	6199
262	34.4743210613	50	0.0	-0.085	0.099292	-0.016824	307	393	4	3923
263	97.2000009672	90	0.0	-0.085	-0.015442	0.037236	799	640	4	4364
264	141.69899429	130	0.0	-0.085	-0.094392	-0.010451	1125	415	4	4310
265	88.1557542879	90	0.0	-0.085	0.003905	0.036276	718	599	4	4171
